David J. Stewart

Glen Shadix
Maurice Costello
Joe Montegna
Holly Hunter
Tracy Lords
Peter OToole
Ron White
Richard Coleman
Jack Riley
Bobby Van
Hanna Brejchova
Jason Gould
Patrick Bachau
Helge Jordal
Reginald Tate
Greta Baldwin
Sandra Locke
John Mehrer
Adrienne Bobes
Peter deLuise
Skeets Gallagher
Donna Corcoran
Isaach deBankol\'e
Garcelle Beauvais
Jered Barclay
Sam Sothern
Olivia Williams
Santa Relli
Victor Jansen
Carel Struyker
Raymond Guth
x. MacArthur
Kevin Corcoran
Adam Monty
Robert Patterson
Sven-Bentil Taube
Jean Yanne
Dona Spei
Maribel Verdu
Jurgen Vogel
Woody Harrison
Ricardo Cortez
Catherine Alric
Robert Benigni
Joanne Cusack
Fernanda Montenegro
Robert Olivieri
Doodles Weaver
Tarik Akan
Jessie Roy Landis
Alex Craig
Marian Vivian Pearce
Alan Hale~jr
Robert Jan vanPelt
Nicholas Cortland
Francies Reid
Marc Cramer
Iga Cembrzynska
Marina Vlady
Horst Buchholz
Ginny Simms
Hildy Brooks
H.B. Haggerty
Colman King
Rutger Hauer
Maria Emo
Greta Gynt
John Astin
Chaub Bailly
Robert Fleming
Norman Foster
Ermete Novelli
Jack Lemmon
Adam Ant
Evelyn Venable
John Cater
Bradley Whitford
Eleanor Parker
Robert Doqui
Eugene Leontovich
Daniel Radcliffe
MarieChristine Barrault
Lambert Hamel
Bud Jamieson
Charles Rakesh
Maria CaseriniGasperini
Solveig Dommartin
Colleen Camp
Zorn
Angelo Rossitto
Jeannie Carson
Eve Miller
Darlene Love
Nigel Terry
Kunie Tanaka
Cyd Charisse
Everett McGill
Debbi Morgan
Juliette Berto
Robert Dunn
Jose Ferrer
Anja Lundqvist
Danny Mann
Brinke Stevens
Consuelo Gomez
Jaaved Jaaferi
Sandra Shamas
Manuel PretoManuel Preto
Fred Keating
Dave Dennis Christopher
Neil Pepe
Sotiria Leonardou
Ronald Lewis
kd. Laing
Stephen Marcus
Otis Young
Claire Williams
Cherie Chung
Richard Brok
Ed Williams
Lionel Braham
Dominique Buyses
Cornell Borchers
R.Lee Ermy
Jules Buck
Felipe Pazos
Charles McKeown
Robert Alda
Marcel Herrand
Karin Kavli
Fred Niblo
Bernice Stegers
Howard Erskine
Claudia Karvan
Maureen Arthur
Jeffrey Nordling
Gabriele Tinti
Varvara Massalitinova
Didier Haudepin
Charlie Sheen
Ed Begley~jr.
Dan Haggerty
John Mills
Isaac Mizrahi
Ben Lang
Isaiah Washington
Miguel Pinero
Georgia Brown
Dorothy Green
Christine Kaufman
Debbie Reynolds
Tora Teje
Javier Bardem
Michael Atwill
Richard Leech
Fanny Ardant
Javier Barden
Flora Finch
Shiri Appleby
Nancy Coleman
Rafael Benavente
Donald Stewart
Tim Burns
Harry Winter
Jean Debucourt
Garry Goodrow
John Turtorro
Lou Ferrigno
Anne Crawford
Greg Kinnear
Billy Idol
Maria Schrader
Griffith Jones
Richard Long
Alex dArcy
Om Puri
Elana Verduge
Thomas Waites
Patricia Farr
L.Q. Jones
Paul Gunther
Martha Scott
Beck Gonzales
Lucie Mannheim
Gitty Djamal
Sophie Marceau
Sam Jones
Margeret Rutherford
Rags Ragland
Al Bridge
Sabine Azema
Vincent Donofria
Lori Martin
Joan Woodbury
Paul Mazurky
Jeff Goldblum
Isabella Rossellini
Andrew Kier
HannaMaria Pravda
Chief Yellow Robe
Harry Connick~jr
AnneMarie McDonald
Queenie Smith
Hume Cronin
Elizabeth Hartman
George Stanford Brown
Harry Hayden
Alwyn Kurts
J.Lee Thompson
Erin OReilly
Faion
Robert Ginty
Barbara ONeill
Ludwig Stoessel
Marie Dubois
Brad Stoll
Royal Dono
Eddie Murphie
Rodney Aukland
Ethel Griffies
Herbert Berghof
Laura deSol
Natalie Wood
Derek deLint
Larry Riley
Gina Gershon
Rosie Grier
Pamela Tiffin
Sarita Moniel
Denzel Washington
William lucas
John LaZar
Eugene Lipinski
Hans Junkermann
Matt McCoy
Edward Ashley
Katrine Boorman
Russell Simpson
Alison Doody
Danny Lloyd
Phil Feldman
Peter Whitford
Will Ferrel
Anjelica Huston
John Gutenberg
JoBeth Williams
Indira Varmi
Ed Gardner
Gary Lockwood
Milla Jovovich
Elena Safonova
Susan Damante Shaw
Bryan Kevin
Tim Considine
Jonathan Hardy
Christopher Reid
Geoffrey Lewis
Paul Koslo
F Steeky
Jack Weston
Diana Rigg
Winifred Kingston
Nina Foch
Angela Walsh
Constanze Engelbrecht
Terence Right
Kirsty Swanson
Jesse Arnold
Despo Diamantidou
Elizabeth Allen
Joe Adams
Robert Cray
Eva Novak
Frederick Forrest
Bill Kerr
Kristen Cloke
Selma Blair
Frank Cady
Billy Frick
Jean Arthur
Elsa Zylberstein
Gaby Basset
Kamal Holloway
Lily Bouwmeester
Phillippe DeLacey
Russ Barry
Charles Vanel
Dayton Ka'ne
Bryan Brown
David Straithearn
Susan Dey
George Butler
Blanche Ravalec
Calvin Lockhart
Jesse James
Dana Delaney
Richard Bohringer
George Chakiris
Jaen Rogers
Carlene Watkins
Walter Gotell
Arthur Space
Alison Skipworth
Gene Nelson
Rupert Crosse
Julia Mueller
Nicholas Farrell
Phillip Merivale
Richard Chulenkan
Gladys George
Lorraine Pilkinton
Edna Best
Cliff Osmond
Jessie Busley
Jacqueline Pagnol
Charles Robinson
Edward Keane
Karen Steele
Yvonne Arnaud
Ted Newton
Charles Inslee
Frankie Thorn
Billy House
Douglass Watson
Michael Pahoels-Carlson
Yusaku Matsuda
Jerry Paris
Dolores Moran
Davis Ogden Striers
Ellen DeGeneres
Clayton Prince
Tia Carrere
Peter Finch
Outrage
Francis Carson
Leonard Ceeley
Michal Gambon
Burr McIntosh
Joseph Downing
Richard Arlen
Taungaora Emile
Teagle F. Bougere
Elizabeth Allan
Richard Reeves
Desmond Kelly
Brigitte Aubert
Don McKellar
Benita Hume
May Hallatt
Thomas Wagner
Reuben Blades
Dean Martin
Anthony Carbone
Kim Thompson
Shelley Winters
Forrest Taft
Gloria Holden
Hoyt Ashton
Josephine
Matthew Broderick
Michael C. Gwynne
Eddie Jamieson
Bruce cabot
King Donovan
Victor Slezak
Jack Palence
Sig Ruman
Tara Reid
Lili Sch\"onborn
Jonathan Gries
Gene Krupa
Noel Francis
Chantal Goya
Robert Fitch
Alec Nicol
Joss Auckland
David Horne
Achid Heeren
Nancy Rutgers
Ernst Lubitsch
V.S. Brodie
Theodore Bikel
Eva Six
Tura Satana
George Lloyd
Kobe Zunga, Stockard Channing
Robert Vogel
Martin Mull
Carmen Mauro
Maxine Audley
Alan Wheatley
Gene Bervoets
Charles Oliver
King Moody
Britta Barnes
Reginal Sheffield
Madelaine Robinson
Alan Bunce
Daphne Pollard
Lynn Danielson
Glen Berry
Sidney Potier
Claude Dampier
Christian Patey
Jennifer Bishop
Madame Spivey
Sheila Kelley
Milly Vitale
John C. Becker
Ake Groenberg
Barbara Gott
Anouk Grinberg
Robert Vaughn
Mark Strange
Nikolai Dorokhin
Marie Murray
Jane Dornacker
John Rechy
James Hall
James Gondolfina
Ginette Reno
Brooks Benedict
Edith Atwater
Valerie Golina
Jo Golland
Victoria Medlin
Ritz Brothers
Gabrielle Dorzat
Prince Randian
Byron Kane
Paul Barber
Mark Hoppus
Valerie Golino
Katherine Dunham
Isabella Celani
Carmen Maura
Edward DeSouza
Irene Tsu
Peter Coyote
Jesper Sal\'en
William Eythe
Willard Robertson
Karl Wuhrer
Laura Linney
Rosemarie Bowe
Dani Sheridan
Martha Byrne
Tatjana Patitz
Spike
Corinne Marchand
Sorrell Brooke
Virginia Maskell
Sharon Taggart
Greta Garba
Efrem Zimbalist~jr
Natja Brunkhorst
Francis Ford
Joe Bologna
Colleen Fitzgerald
Tristine Skyler
W.G. Fay
John Ryan
Sally Eilers
Scott Wilson
Sharon Farell
Jack Kehoe
James Villiers
Darryl Cowl
Julia Louis Dreyfus
x Hagen
Reginal Denny
Hume Cronyn
Dorothy Tristan
Frank Gorshin
Marius Weyers
Marie Windsor
Greta Garbo
Julie Christy
August Schellenberg
Stephen King
Amy Hargreaves
Sandy McPeak
Richard Clarke
Jeremy Folman
Jasae
Francine Racette
Nadine Verdier
Kevin Connolly
Michael Gover
Polfich
Nick Lucas
Shelley Burch
Adam Sandler
Guy Williams
Hal Holbrook
Jamie Smith
GeorgeDzunda
Philip Merivale
Martha Stewart
Antonia Brough
Jane Birkin
Michelle Phillips
Reginald Gardiner
Ella Raines
Bruce M. Fischer
John Cunningham
John McLiam
Grand L. Bush
Jennifer Tilley
Ben Turbett
Anders Hove
Patrick Mower
Carol Hughes
Billy Halop
John P. Ryan
Anna Karina
Paul Newman
Lewis Fiander
Freddy Reynolds
Tommy Kirk
Hector Ubarry
William Jordan
Warren Stevens
Theu Boermans
Don Collier
Tracy Nelson
John Quentin
Gong Zhaohui
Claude Allister
Jerry Colonna
Pernilla Allwin
Glynis Barber
Charles E. Perry
Harvey Braban
Joan Tetzel
Edgar Buchanan
Francis Sayles
Branford Marsalis
Aino TaubeHenriksson
Jan Hieronimko
Alan Bates
Scott Hylands
Stephen Boyd
Rosalind Keith
Jacques Harden
Kim Richards
Maria Mercader
John Fiedler
Alan Young
Martin Donovan
Marcel Andr\'e
Virginie Ledoyen
Roland Bertin
Francois Lafargue
Zeljko Ivanek
Dennis Franz
Norah Young
Brian Backus
Wesley Lou
Fritz Feld
Katherine Lee
Henry ONeil
Leslee Udwin
Samantha
Gerard Malanga
Edward Brophy
John Loder
John Carroll
Barry Crocker
Naima Wilfstrand
Stefania Iwinska
Laurence Oliver
Corinne Alphen
Matt Craven
Lois Wilson
Gabriello
Jan Azis
Laurette Luez
Francoise Dorelac
Paul Gegauff
Gary Busy
Christopher Stone
Eddie Cantor
Ben Cooper
Queen Latifah
Leslie Perrins
Kistie Alley
Janet Gaynor
Inna Churikova
Tutta Rolf
Sally Yeh
Tom Gillerau
Vic Morrow
Kevin Corrigan
Remy Belvaux
Joe deRita
Esm\'e Percy
Ricard long
Tom Gilleran
Adolfas Mekas
Levon Helm
Paul Weigel
Jimmy Hunt
Rosalind Cash
Amanda Wyss
Walter Burke
Betty Balfour
Rita Gam
Pert Kelton
James Bree
Matt Goldsby
Seidy Lopez
Laurie Wallis
Jenny Till
Leon Greene
David Huffman
Nichalos Cage
Robert Adams
Joseph Schildlraut
Jack Somack
Melora Walters
Nick Thelis
Harold Vermilya
Talia Shire
Natascha McElhorn
Lisa Reeves
Ashley Judd
Deborah Harry
Mike Mitchell
Robert Townsend
Keely Smith
Branda Vaccaro
Maurice Marsac
James leGros
Fernand Ledoux
Mario Cusmich
Howard Townes
Joey Camen
Jacques Marin
Joe Julia
Kevin Dillon
Tisa Farrow
Leslie Nielsen
Sidney Bracy
Whoopie Goldberg
Leslie Nielsem
Frank Krieg
Gertrude Messenger
Martin Kove
Dlive Brrok
Fanny Brice
Ralf Harolde
George Stevens
Matthew Perry
Rebecca Wassem
Mykelta Williamson
Ruth Hellberg
Kenan Thompson
Dorothy McGuire
Anthony Heald
Robert Ames
Jena Malone
John Lodge
Dan Durya
Margaret Leahy
Mary Malone
Barry Robin
Frances McDormand
Randi Allen
Catherine Roche
James Rennie
Anna Laguna
Clara Blandick
Jake
Goerge Zucco
Jennifer Runyon
Laurie OConnor
Oliver Conant
Dorothy Stickney
Diana Lynn
Viveka A. Fox
Rupert Grint
Steven Hill
Magdalena Montezuma
Jane Forth
Chiara Mastroianni
Luis Gnecco
Sharon Stone
Kay Francis
Esther Williams
Carolyn Conwell
Stephanie Schick
Lise Hilboldt
Billy Attmore
Lauren Bacall
Shirley OHara
Vivian nathan
Gloria Munchmeyer
Natascha McElhone
Susan Hayward
Ken Clark
Janet Ward
Charles Aznavour
David Paymer
Romai Duris
Robert McWade
Jessie Matthews
Camilla Horn
Mossie Drier
Creedence Clearwater Revival
Carmen Argenziaon
Natalie Uher
Jimmy Smits
Robert Webber
Hal Scardino
Reinol Martinez
Tom Towles
Brigitte Kahn
Ed Harris
Jobina Ralson
Aldo Ray
Percy Herbert
Keith Coogan
Betty Hill
Ronald Reagan
Tony Martin
Sofia Coppola
Andre Brougher
Dre Pahich
Oleg Jankowski
Josie deGuzman
Konstantin Fyodorov
Edina Ronay
Stanley Tucci
Gladys Cooper
Carmen Argenziano
Janet Suzman
James Burke
Maria Schneider
Philippe Galland
Laurie Heineman
Muriel George
Ruth Clifford
Leslie Caron
Nathalie Cardone
Marian Carr
Michael Berryman
Trey Parker
Ross Sisters
Ricky Nelson
John Agar
Donald Moffat
Olga SanJuan
Marina Smirnova
Robyn Lake
Jeremie Renier
Charles Hawtree
Jane Frazee
Valeree Grant
Carol Heiss
Loles Leon
Nick Brimble
Sam Behrens
Edgar Stehli
Donald Lyons
Eddie Benton
Charles Hawtrey
Theresa Saldana
Aldo Rey
Elena Shiffers
Ronald Lee Jarro
Nobu McCarthy
Per Oscarsson
Hayden Christensenn
Frank Celier
Cedric Hardwicke
Sarita
Peter Frechette
Derrick deMarney
The Wilde~Twins
Nick Cravat
James Roobertson Jutice
E-than Hawke
Frank overton
Frank Zagarino
Davis
Tom Nolan
Libertad Lamarque
Stephen Baldwin
Robert Z. Leonard
Dolly Read
Richard Young
Chris Evert
Hallie Eckstein
Chris Klein
Mary Anderson
Richard Carlyle
Ric Marlowe
Shelly Winters
Ruaidhri (Rory) Conroy
Stephen Dillane
George Nader
Blythe Danner
Nicky Guadani
George Cole
Troy Danahue
David Paymar
Linda Goranson
Fyvush Frankel
Annie Lennox
Anne Brochet
Dwight West
Feodor Chaliapin~jr.
Lillian Miles
Kathryn Bard
Maxime Collin
Claire Trevor
Montague Love
Leif Erikson
Patrice Wymore
Jessica Forde
Antonia SanJuan
Laura Dean
Dean Jagger
Hannes Schmidhauser
Nora SwinBurne
Non Zammit
Warren William
Bo Foxworth
Madlyn Rgue
Dorothy Ghish
Everett Scott
Luciana Paluzzi
Jack Coleman
Sam Adams
Butterfly McQueen
Victor Colicchio
Albert Lieu
Ewa Aulin
Rodney Brooks
John Nettleton
Ralph Bellamy
Phyllis Dixey
Julie Woodridge
Jon Livitz
Esther Miniciotti
John vanEyssen
Tchelley Hanny
Diana Wynard
Roy Baker
Eli Wallach
Lara Parker
Kerlly LeBrock
Angela Bassett
Ryan Philippe
Necmettin {\c}Cobanoglu
Reine Brynolfsson
Dorothy Tree
Katherine Alexander
Peggy Moran
Lloyd E. Bridges
Beach Dickerson
Carl Hackett
Francis X. Mahoney
Fay Compton
John Goodman
Mark Rolstom
Michael Culver
John Ashley
Amelia Shankley
Nikolei Cherkassov
Nancy Kovak
Aldo Fabrizi
Kyle.T.
Jeanette Hain
Jean Heather
Bradford Tatum
Olli Dittrich
Michelle Holmes
Denise Debbaut
Betty Blythe
Charlie Shenn
Allen Jenkins
Winter Hall
Gregory Sierra
Romane Bohringer
Tetsu Komai
Mario VanPeebles
Eily Malyon
Claire Dowell
Ruth Storey
Robert Keith
Tony Brubaker
Ed Sullivan
dArcy Corrigan
Herkie Styles
Ajay Naidu
Fay Masterson
Kirsty Alley
Tom Berenger
Frank Sinatra
Leslie Easterbrook
Rixhard Dean Anderson
John Litel
Nancy Davis
Super Dave Osborne
Tracy Pollan
Christie Wagner
Martin Smith
Jason Mewes
Laetitia Casta
Sara Haden
Nancy Valen
Jules Dassin
Freddie Kruger
Bibi Osterwald
Cybill Shepherd
Emile Borea
Ludmilla Tcherina
Robert Young
Beverly Whitney
Tim Conway
Kathleen Lloyd
Red Foxx
Eric Stern
Martin Lamont
Anica Dobra
Tovah Feldshuh
Gloria Dickson
Terrence Mann
Samuel S. Hinds
Christian Clemenson
John Harvey
Alan Curtis
Tom Powers
Thommy Berggren
Wendell Cory
John Carol
Famke Janssen
Mia Sara
Steve Cochran
Steve Cochram
Mitchell Leisen
Daniel Wu
W.C. Fieds
John Buckler
Rosemary Forsyth
John McCallum
Marilyn Hassett
Michael Mark
Dora Russell
Emil Jannings
Karl Swenson
Ken Howard
Kenneth Griffith
Cole Sprouse
Clarence Muse
Patsy Kelly
Martha Hyer
Hiromi Iwasaki
Isabelle Mears
Rg Armstrng
O.J. Simpson
Lancd Henriksen
Lena Stolze
Bonnie Bedelia
Lika Kavzharadze
Stanley Kim
Deidre Quinn
Eilleen Anderson
Whitney Bourne
Jasmine
Gwenne Gilford
JeanPierre Aumant
Hugh OBrian
Mary Meigs
Anne Shoemaker
Jeffrey Tambor
Julia Walters
Tony Allyn
James Patterson
Wally Campo
Goldie
Christine Ebersole
Alex Rebar
Saul Rubineck
Barbara Werle
Franco Columbu
Andie McDowall
Glynn Turman
Jerry Orbach
Paula Marshall
Nina Wayne
Lori Nelson
Marguerite Clark
Lou Castel
Ed McMahon
Noel Trevarthen
Genevieve Bujold
Joan Leslie
Misa Shimuzu
Marie Ney
John Burke
Karen Russell
Fernando Arrabal
Season Hubley
Marion Edwards
Elisha Cook
James Marshall
Paul Pincerni
Dorothy Alison
Susan Egan
Jaraj
Robert Sterling
Morton Selten
LaRita Shelby
Cindy Williams
Jack Elam
Tamlyn Tomata
Harry Townes
Armin MuellerStahl
Pam Grier
Cornelia Froeboess
James Earl Jones
Barry Corbin
Cathy Burns
Barbara Bach
Frances Sternhagen
Thomas Brown
Stephen Davis
Joynson Powell
Larry Pine
Tully Marshall
Claude Mann
Dabney Colman
Berhard Wicki
Himphey Bogart
Hugh OBrien
Clarence Kolb
Catherine Spaak
Joanna Pettet
Ben Underwood
Birger Malmsten
Firmine Richards
Christopher Cazenove
Rory Cochrane
Julia Ormond
Trini Alvorado
William Lancaster
George Clarke
Don Blakely
Myriam Roussel
Catherine Keener
Phyllis Thaxter
Robert Protsky
P.Dempsy Tabler
Roxann Dawson
Dorothy Peterson
Mark Dana
Judith Kavner
Moliere Players
John Dough
Lee Meredith
Jarl Kulle
Dyan Cannon
Gustev vonSeyfferlitz
Sabrina Scharf
Liz Fraser
Mark Dano
George Gaynes
Gillian Hills
Harry Holman
Julietta Serrano
Thelam Leeds
Virginia Wetherall
Michael Gough
Julie Roberts
Seymour Cassel
Tim Holt
Estelle Jewell
Colin Friels
Tsuru Aoki
Alfred Edel
T.J. Lowther
William Sharon
Joseph Sweeny
Tadeusz Janczar
Sophie Dix
Jaques Brunius
Arthur Carewe
Suzy Kendall
Pepe Serna
Mae Clark
Jason Robards~jr.>
Kurt G\"otz
Rod Gist
Pixote
Cristina Jimenez
Eleanor Boardman
Razzy Bailey
Shannon Doherty
Alastair Simms
Corey Allen
Jayne Kennedy
Jon Darling
Elaine may
Diane Sayer
Jared Harris
Alex Winter
Richard Masur
Gerry Mulligan
Vikram Gokhale
Alonzo Price
Gian Maria Volonte
Harold Lockwood
Elsa Poblete
M.J. Montfajon
Shirly Horn
Geraldine Page
Michael Tucker
Erin Gray
Carlos Navarro
Billy Connolly
Isaach deBancole
Guido Mannari
Elizabeth Ercy
Jason Robards~jr.
Henri Serre
Fred Vincy
Kevin Vanhentenryk
Bill Paterson
Gabriel Damon
Sylva Koscina
Franco Citti
Bernard G\"otzke
Lian Wilson
Marcia Mae Jones
Eduard Franz
Ken Takakura
Pat Breslin
Felice Schacter
Marshall Bradford
Fakir
Ed DeStefane
Ana Esmeralda
Stephen Hawking
Frank Glaubrecht
Sylvie Meda
Rick Moranis
Mitchell Lewis
Chaim Topol
Woodie Herman
Dwight Schultz
Stephen Mailer
Russ Conway
Frances Farner
Max Haufler
Kye Benson
Colin KeithJohnson
Elias Monteiro daSilva
Alain B\'ecourt
Jack Peral
Leonora Corbett
Andrea Ferreol
M.~Emmet Walsh
Bill Lucking
Malcom McDowell
Reubin Dorey
Theodor Pistek
Melanie Lynskey
Steve Hintner
Lisa Chappell
Elizabeth Mastrantonio
Roberto Bisacco
Chick Chandler
Fausto Tozzi
Tommy Steele
Sybil Jason
Larry Keating
Ilka Chase
Olaf ford
Anna Chlumsky
Bjorn Berglund
Chus Lampreave
Tod Slaughter
Merritt Nelson
Barry Kivel
Hans Schlettow
Lido Manetti
Derek Godfrey
Bruce Robinson
Francoise Dorleac
Margaret Shendal
Danny Thomas
Victoria Thomas
James McKechnie
Max vonSydow
Angela Green
Harry Langdon
Ana Obregon
Danny Kameakona
Cliff Potts
Kim Hunter
Peter Turgeon
Susan Tyrell
Nikolai Cheraskov
Ricky Shroder
Diane Qick
Colin Stinton
Herbert Marshall
Manfred Mann
Harold Sakata
Cyril Ritchard
Perla Walter
Maurice Denham
T.Ryder Smith
George Pal Puppetoons
John Leguizamo
O.W. Fischer
Mary McDonough
John DayHill
Andrew Robertson
Michael Kahn
Robert Coogan
Cal Struyker
Jack Caron
June Clyde
Hilary Dwyer
Margaret Wycherly
Roger Corman
Jack Pickford
Udo Kroschwald
Steve Tisch
Loni Anderson
Shashi Kapoor
Julius Tannen
Cuba Gooding
Richard Stahl
Beatrice Arthur
Saro Urzi
Francois Cluzot
Lisa Kudrow
John Mitchum
Swapan Mukherjee
Marilyn Sokol
Conrad Veidt
Y. Valbert
Terry Mountain
Hank Azaria
Barbara Steele
Benny McInery
Sebastian Moreno
Badja Djola
John Austin
William L. Petersen
Keanu Reeves
Bruce Speermans
Juano Hernandez
Juano Hernandex
Susan Jones
Jose Miguez
Lucile Watson
Ben Gazzarra
Don Harvey
Peter Bracco
Laurie Walters
Frank Whaley
Ralph Richardson
Rob Estes
Byron Keith Minns
Maka Kotto
Matt McGrath
Hill Harper
Chic Sale
Pa Zadora
George Lazenby
Louie Anderson
Iain Cuthbertson
Cynda Williams
Lyndon Davis
Freddie Simpson
Amedeo Nazzari
Richard Linebak
Chrisopher Cazenove
Charles Braswell
Jack Kruschen
F.J. McCormick
Cyndi Lauper
Hank Mann
Maria Falconetti
Judy Edwards
Ashley Cox
Duke Mitchell
Pat Henning
Roland Toutain
Paula Trueman
Dorothy Crehan
Ryan Phillipe
Danny deVito
John RhysDavis
Mike Schank
Gene Evans
Gloria Grahame
Stephen Shellen
Lilli Palmer
Maria Gasperini
Linh Dan Pham
Erno Crisa
Pamela Carme
Brian Bremer
Thomas Aran
Movita Castenada
Louis G. Mercier
Shaun Weiss
Madonna
Cliff Ellen
Griffin ONeal
Anita Eckberg
Peter Androair
Frederic Andrau
Janis Joplin
Djimin Hounson
Isabelle Jamieson
Mark Burns
Vibeke Lokkeberg
George Clutesi
Laura Peter
Buzz Merten
Darnell Williams
Alberto Benegas
Charles Ruggles
Christopher Reeve
Wadeck Stanczak
Patrice Donnelly
Jim Dale
Amy BrandonThomas
Razvan Vasilescu
Freddie Bartolomew
Amy L. Taylor
Stanley Fields
Minna Gombell
Ted Donaldson
Smiley Burnette
Clarence William~III
Gabriella Roel
Erskine Sandford
Jayce Bartok
Phillippe Noiret
May McAvoy
Whittni Wright
Richard Alexander
Arthur Lake
Ermelinda deFelice
Danielle Darieux
Charles Martin Smith
Candy Clark
Brian Keith
Jean Gago
Lee VanCleef
Susan Sarandon
Bernie Gozier
Daphna Kastner
Eliajah Wood
Robin Bartlett
Verna Felton
John Alderson
Bradley Pierce
Karen Black
John Ericson
Karin Schubert
Beverly Wills
Jane Merrow
Andre Deed
Gina Roman
Samual L. Jackson
Jai
Nino Bignamini
Vicki Jenson
Murray Kinnell
Jack MacGowran
Abner Biberman
Susan Seaforth Hayes
Ruth Selwyn
Leonore Aubert
Ludwig Donath
Andy Garcia
Jaques Villeret
Jordan Brewster
Jean Hagen
Jenny Ingo
Mr.~Kent
Paulette Goddard
May Whitty
Al Mathews
Rod Taylor
Jim Hutton
Sonja Smits
Milos Forman
Laura Herrring
Isabelle Sadoyan
Annie Golden
Capl Topa
Buddy Ebsen
Bill Monroe
Glynn Thurman
Melanie Mayron
Edward Woodward
Steven Seagal
Joseph Mobuto
Paul Thoma
Kessia Kordelle
Emer McCourt
Gordon Harker
Lewis Hooper
John Caglione~jr
Derek Scott
Jeffrey Linn
Ava Gardner
Rudolf Lucieer
Wyndham Standing
Eva Gabor
Romald Coleman
Gertrude Lawrence
Bruce Yarnell
Carol deLuise
Miki Howard
Joanna Lumley
Jill StJohn
Marie Versini
Sonja Moser
Oreste Kirkop
Shepperd Strudwick
Frances Mcdorman
David Saber
Fr\'ed\'eric VanDenDriesche
Olga GeorgesPicot
Lilia Skala
Sean Kanan
Jennifer Tilly
Oliver Williams
Zbigniew Zapasiewicz
Richard Venture
Sinead Cusack
Rip Torn)
Vivica A. Fox
Lillian Ghish
Leatrice Joy
Albert Lieven
Christine Freeman
Geoge Irving
Ron Livingston
Yvonne deCarlo
Leon Ames
Woody Allen
Julie Payne
Robert Cummins
Harold O. Dyrenforth
George Barraud
Brad Pitt
Susan Blakley
Don Baker
Mary Wickes
Ulli Lommel
Edward Norton
Marcelle Hainia
Maxime Leroux
Jurgen Prochnow
Kati Outinen
Suzanne Kent
Michael Landon
Annette Bening
Robe Lowe
Arnold Hess~jr.
Peter Meyers
Anne Shirley
Arkie Whiteley
Giulio Manieri
Colm Meany
Warren Williams
William redield
Kathyn Keenan
Ursala Howells
Kelly Thordsen
Robert moore
Jill Whelan
Sylvia Williams
Laurence Naismith
Jeff Lau
Peggy Wood
John Duncan
Lacey Chabert
Alan Reed
Rowena King
Glenn Ford
Benny Rubin
S.Z. Sakall
Jane Kaczmarek
Massoumeh Naderi
Arthur Godfrey
Gene Kirkwood
Anita Bjork
Jack Oakie
Lily Damita
Rita LeRoy
Michael Anderson~jr.
Lloyd Pearson
Martin Benson
Richard Biers
Keith Vitali
Jimmy Cagney
Charles Middleton1
Charles Rampling
Bill Fraser
Susannah Fowle
Barbara Dennek
Kathy Ireland
Herbert Mundin
Geoffrey Holder
Peggy Shannon
Gary Maas
Betsy Russell
LesleyAnne Down
Annabella
Veruschka
George Humbert
Otto Sandler
Aurore Prieto
Toby Huss
Roger Planchon
Allan Garfield
Eleanore Whitney
Percy Heston
Francis Lederer
John Dierkes
Jean-Claude Brialy
Benjamin Weir
John Cronin
Bert Hanlon
Montague Sidney
Kay Nebel
Justine Arlin
Ronald Frankau
Adriane Rimscha
Sonia Dresdel
Barbara Blaxley
Richard Beltran
Paul Comi
Jack Creley
Brian Murray
Indus Arthur
Donnelly Rhodes
Kesha Reed
Manuael Aranguez
Esme Percy
Slim Pickins
Charles Belcher
Rock Brocksmith
Kathryn Harrold
Ray Wistone
Carl Alt
Lyle Latell
Arthur Young
Doug E. Doug
Georg Rydeberg
Glenna Foster Jones
Navin Chowdhury
Wanda Rotha
Rob Brady
Carlos Brown
Pete Seeger
Graeme Blundell
Otto Waldis
Annabelle
Rainer Fassbinder
Guido Colucci
John Shepperd
Ike Eisenmann
Adrien Brody
Anthony Dexter
Robert J. Wilke
Billy Bevan
Barbara Greene
M. Valli
Jules Gray
Kerima
Ward Bond
Terrence Stamp
N.N. Arski
Marge Redmond
Tyrone Power
Alan Scarfe
Ralph Bewllamy
Tim Healy
JeanPhillippe Lafort
Robert Beltran
Gerald Flood
Kathryn Grody
Tom Laughlin
Fred Kalmar
Masuyaki Mori
Bill Cosby
AndieGregg Edelman
Screaming Jay Hawkins
Henry Wadsworth
Tsutomu Yamazaki
Diana Quick
Karl Stepanek
Michael Robbins
William Frawley
Gary Miller
Teri Hatcher
Barbara Traub
Elena Sofonova
Claudine Auger
John C. McGinley
Martin Hewitt
Matt Dillon
Joan Fountaine
Valerie Taylor
Van Morrison
Keith Carradine
Andreas Katsulas
Angela Jolie
Dick Davalos
Villalongo
Liv Ullman
Vittorio deSics
William Castle
Martin Ferraro
Maria Dea
Reinhold Schunzel
James Donald
Jason Fleming
Mabel King
Kathy Lemons
Beverly Tyler
Philip Seymour Hoffman
Imogene Coca
Anna Galiena
Philip Chan Yan
Abnes Moorehead
Michael Warren
Susan Hubble
Ivor Novello
Toshia Mori
Sharon Farrell
Hannah Ralph
Chris Bedenko
